"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-"
"*05tqz*","Rico Henry","BRF","D","499","W (Thu)","26","@BOU Sat 7:00AM","0","0","68%","131.45","17%","-0.1%"
"*06do9*","Milos Kerkez","BOU","D","547","W (Thu)","20","BRF Sat 7:00AM","0","0","39%","142.46","17%","-1.2%"
"*06dn2*","Zeki Amdouni","BUR","F","245","W (Thu)","23","@TOT Sat 7:00AM","0","0","8%","325.32","17%","0%"
"*05y7i*","Jarell Quansah","LIV","D","730","W (Thu)","21","@AVL Mon 12:00PM","0","0","0%","1106.4","16%","-2.5%"
"*06fxe*","Ryan Gravenberch","LIV","M","467","W (Thu)","21","@AVL Mon 12:00PM","0","0","0%","-","16%","+1.4%"
"*06ewr*","Thomas Kaminski","LUT","G","541","W (Thu)","31","@WHU Sat 7:00AM","0","0","1%","1124.04","15%","+1.6%"
"*068yj*","Felipe","NOT","D","889","W (Thu)","34","CHE Sat 9:30AM","0","0","35%","147.08","15%","+0.1%"
"*05opj*","Elliot Anderson","NEW","M","252","W (Thu)","21","BHA Sat 7:00AM @MUN Wed12:00PM","0","0","16%","240.68","15%","-2.3%"
"*06f7b*","Vinicius de Souza Costa","SHU","M","892","W (Thu)","24","@EVE Sat 7:00AM","0","0","0%","1193.03","15%","-0.3%"
"*05yg5*","Toti","WOL","D","459","W (Thu)","25","CRY Sat 7:00AM","0","0","0%","1227.2","15%","-2.5%"
"*067yu*","Facundo Buonanotte","BHA","M","315","W (Thu)","19","@NEW Sat 7:00AM CHE Wed11:45AM","0","0","14%","275.59","15%","+0.2%"
"*068a3*","Danilo","NOT","M","896","W (Thu)","23","CHE Sat 9:30AM","0","0","24%","168.2","14%","+0.7%"
"*06cmu*","Bart Verbruggen","BHA","G","845","W (Thu)","21","@NEW Sat 7:00AM CHE Wed11:45AM","0","0","8%","334.13","14%","+0.1%"
"*03rxa*","Idrissa Gueye","EVE","M","473","W (Thu)","34","SHU Sat 7:00AM","0","0","4%","386.42","13%","+6.5%"
"*06jgn*","Giovanni Reyna","NOT","M","744","W (Thu)","21","CHE Sat 9:30AM","0","0","0%","-","13%","-0.2%"
